Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
183.232.231.172-10.42.0.211-443-33998-6,10.42.0.211,33998,183.232.231.172,443,6,15/06/2017 04:28:16,290100,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.788348845225784,96700.0,160068.24545799207,281478.0,482.0,290100.0,145050.0,204450.0262851536,289618.0,482.0,0,0,0,0,0,0,0,0,0,80,40,10.341261633919338,3.447087211306446,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34116-6,10.42.0.211,34116,137.175.31.97,80,6,15/06/2017 04:28:16,173826,3,4,657.0,209.0,657.0,0.0,219.0,379.31912685758414,209.0,0.0,52.25,104.5,4981.993487740614,40.270155212683946,28971.0,40570.56692233916,81376.0,4.0,89668.0,44834.0,62658.14609450235,89140.0,528.0,92768.0,30922.666666666664,51169.14868681454,89986.0,4.0,0,0,0,0,104,136,17.25863794829312,23.011517264390825,0.0,657.0,108.25,233.47850925880584,54512.21428571428,0,0,0,1,0,0,0,0,1.0,123.71428571428571,219.0,52.25,104,0,0,0,0,0,0,3,657,4,209,65535,124,1,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34116-6,10.42.0.211,34116,137.175.31.97,80,6,15/06/2017 04:28:16,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,64,0,181818.18181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
183.232.231.172-10.42.0.211-443-34000-6,10.42.0.211,34000,183.232.231.172,443,6,15/06/2017 04:28:17,444646,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99592035012122,148215.3333333333,142546.3762511462,284970.0,509.0,444646.0,222323.0,313692.3671242257,444137.0,509.0,0,0,0,0,0,0,0,0,0,80,40,6.746940262590916,2.248980087530305,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34118-6,10.42.0.211,34118,137.175.31.97,80,6,15/06/2017 04:28:18,175020,3,4,657.0,209.0,657.0,0.0,219.0,379.31912685758414,209.0,0.0,52.25,104.5,4948.005942178036,39.99542909381785,29169.999999999996,40534.23098074022,81401.0,4.0,90618.0,45309.0,63536.37271673604,90236.0,382.0,93750.0,31250.0,51549.3720912292,90749.0,4.0,0,0,0,0,104,136,17.14089818306479,22.854530910753056,0.0,657.0,108.25,233.47850925880584,54512.21428571428,0,0,0,1,0,0,0,0,1.0,123.71428571428571,219.0,52.25,104,0,0,0,0,0,0,3,657,4,209,65535,124,1,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34118-6,10.42.0.211,34118,137.175.31.97,80,6,15/06/2017 04:28:18,476,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4201.680672268907,476.0,0.0,476.0,476.0,476.0,476.0,0.0,476.0,476.0,0,0,0,0,0,0,0,0,0,64,0,4201.680672268907,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
183.232.231.172-10.42.0.211-443-33998-6,10.42.0.211,33998,183.232.231.172,443,6,15/06/2017 04:28:17,1754505,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1399226562477736,1754505.0,0.0,1754505.0,1754505.0,1754505.0,1754505.0,0.0,1754505.0,1754505.0,0,0,0,0,0,0,0,0,0,40,0,1.1399226562477736,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
183.232.231.172-10.42.0.211-443-34002-6,10.42.0.211,34002,183.232.231.172,443,6,15/06/2017 04:28:19,473525,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.447283670344754,157841.6666666667,144382.38440451567,283479.0,114.0,473525.0,236762.5,334671.5182152494,473411.0,114.0,0,0,0,0,0,0,0,0,0,80,40,6.335462752758566,2.1118209175861886,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34120-6,10.42.0.211,34120,137.175.31.97,80,6,15/06/2017 04:28:19,197147,3,4,657.0,209.0,657.0,0.0,219.0,379.31912685758414,209.0,0.0,52.25,104.5,4392.6613136390615,35.5065002257199,32857.833333333336,38249.424452750485,81340.0,12.0,110968.0,55484.0,47431.30866843124,89023.0,21945.0,115830.0,38610.0,62730.000215208034,110991.0,12.0,0,0,0,0,104,136,15.217071525308526,20.28942870041137,0.0,657.0,108.25,233.47850925880584,54512.21428571428,0,0,0,1,0,0,0,0,1.0,123.71428571428571,219.0,52.25,104,0,0,0,0,0,0,3,657,4,209,65535,124,1,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-34120-6,10.42.0.211,34120,137.175.31.97,80,6,15/06/2017 04:28:19,491,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4073.3197556008145,491.0,0.0,491.0,491.0,491.0,491.0,0.0,491.0,491.0,0,0,0,0,0,0,0,0,0,64,0,4073.3197556008145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
