Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
183.232.231.172-10.42.0.211-443-54243-6,10.42.0.211,54243,183.232.231.172,443,6,15/06/2017 07:15:39,316569,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.635475994175046,105523.0,164169.60122690193,294685.0,220.0,316569.0,158284.5,223536.95962972209,316349.0,220.0,0,0,0,0,0,0,0,0,0,80,40,9.476606995631284,3.1588689985437615,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-58228-6,10.42.0.211,58228,137.175.31.97,80,6,15/06/2017 07:15:39,174080,3,4,657.0,209.0,657.0,0.0,219.0,379.31912685758414,209.0,0.0,52.25,104.5,4974.724264705882,40.21139705882353,29013.333333333332,40753.157495667336,81541.0,44.0,89542.0,44771.0,63216.76045163972,89472.0,70.0,92539.0,30846.333333333336,50772.73879094305,89448.0,44.0,0,0,0,0,104,136,17.23345588235294,22.977941176470587,0.0,657.0,108.25,233.47850925880584,54512.21428571428,0,0,0,1,0,0,0,0,1.0,123.71428571428571,219.0,52.25,104,0,0,0,0,0,0,3,657,4,209,65535,124,1,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-58228-6,10.42.0.211,58228,137.175.31.97,80,6,15/06/2017 07:15:40,172,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11627.906976744185,172.0,0.0,172.0,172.0,172.0,172.0,0.0,172.0,172.0,0,0,0,0,0,0,0,0,0,64,0,11627.906976744185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
183.232.231.172-10.42.0.211-443-54241-6,10.42.0.211,54241,183.232.231.172,443,6,15/06/2017 07:15:39,1781750,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1224919320892381,1781750.0,0.0,1781750.0,1781750.0,1781750.0,1781750.0,0.0,1781750.0,1781750.0,0,0,0,0,0,0,0,0,0,40,0,1.1224919320892381,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
183.232.231.172-10.42.0.211-443-54245-6,10.42.0.211,54245,183.232.231.172,443,6,15/06/2017 07:15:41,421428,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.491538293611246,140476.0,141472.10462843903,291132.0,10454.0,421428.0,210714.0,283210.40800083603,410974.0,10454.0,0,0,0,0,0,0,0,0,0,80,40,7.1186537202084335,2.3728845734028114,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,8192,0,20,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-58230-6,10.42.0.211,58230,137.175.31.97,80,6,15/06/2017 07:15:41,173148,3,4,657.0,209.0,657.0,0.0,219.0,379.31912685758414,209.0,0.0,52.25,104.5,5001.501605562871,40.42784207729804,28858.0,40755.28143934231,81376.0,43.0,88809.0,44404.5,62418.43689568011,88541.0,268.0,91788.0,30596.0,50448.306344217344,88825.0,43.0,0,0,0,0,104,136,17.32621803312773,23.101624044170304,0.0,657.0,108.25,233.47850925880584,54512.21428571428,0,0,0,1,0,0,0,0,1.0,123.71428571428571,219.0,52.25,104,0,0,0,0,0,0,3,657,4,209,65535,124,1,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
137.175.31.97-10.42.0.211-80-58230-6,10.42.0.211,58230,137.175.31.97,80,6,15/06/2017 07:15:41,113,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17699.11504424779,113.0,0.0,113.0,113.0,113.0,113.0,0.0,113.0,113.0,0,0,0,0,0,0,0,0,0,64,0,17699.11504424779,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.211-23.101.115.193-41577-443-6,10.42.0.211,41577,23.101.115.193,443,6,15/06/2017 07:15:42,49384,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.49894702737729,49384.0,0.0,49384.0,49384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.249473513688645,20.249473513688645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.211-65.52.108.74-36449-443-6,10.42.0.211,36449,65.52.108.74,443,6,15/06/2017 07:15:42,50166,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.801459155603396,25083.0,35411.9076018223,50123.0,43.0,0,0,0,0,0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,32,64,19.933819718534465,39.86763943706893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
10.42.0.211-52.179.153.195-39241-443-6,10.42.0.211,39241,52.179.153.195,443,6,15/06/2017 07:15:42,50128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.89786147462496,50128.0,0.0,50128.0,50128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.94893073731248,19.94893073731248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,ADWARE_GOOLIGAN
